OBJECTID,JCODE,SIKUCHOSON,買い物,コンビニ,薬局,ドラッグストア,スポーツ,カラオケ,図書館,公民館,映画,病院,市役所,警察,銀行,郵便局,美容院,飲食店,喫茶店,公園,神社,バス,駅,,買い物施設,趣味・娯楽,医療,暮らし,交通,,総合平均,総合合計
35,11230,新座市,6.588739988,9.16327121,4.499384208,0.828204441,0.565631644,0.006826396,0.981896557,3.823412675,4.229838228,3.99507874,0.173041566,1.901852135,0.693597577,3.609486814,3.35262223,4.161797879,0.305799087,3.512567989,0.425432913,11.09169994,0.167851112,,6.750465136,1.241194343,4.112458484,2.015133132,5.629775527,,3.949805324,19.74902662
36,11231,桶川市,6.113584857,7.781521644,3.705984872,1.208204586,0.52927936,0.221637931,0.790535458,1.912124795,4.879520212,4.294458519,0.60622097,1.671988139,3.059936172,3.465843102,5.764148091,5.592470039,2.046188034,2.95510255,0.774191731,11.98705,0.841516396,,5.867030458,0.932356426,4.586989366,2.881787648,6.414283196,,4.136489419,20.68244709
37,11232,久喜市,4.139949864,6.848655319,4.163913057,0.555958038,0.654686134,0.011230589,1.285061548,1.821969369,4.199142296,2.98296451,0.313576971,2.163811369,2.289274908,2.91787426,5.050777287,4.689299008,1.791711084,2.73254763,1.15650401,8.126810625,1.294575266,,5.050839413,0.865781136,3.591053403,2.567264059,4.710692946,,3.357126191,16.78563096
38,11233,北本市,4.947075037,7.718685432,4.083600786,1.109449121,0.512168142,0,1.046141732,1.941519305,4.888601851,4.203956395,0.856155543,1.322216328,1.764722134,4.307423053,5.759646787,5.332053237,2.645316303,5.553940271,0.495358229,10.80303864,0.532596781,,5.583120418,0.92185566,4.546279123,3.115203543,5.667817709,,3.966855291,19.83427645
39,11234,八潮市,5.134314342,9.756940399,3.615192648,0.646417225,0.982269799,0,2.024263567,1.577883119,3.8361799,3.091698551,0.659962334,1.837857416,1.249701636,3.487344207,5.601347953,4.914822616,2.416669253,5.242704437,1.544437776,11.42143543,0.150143117,,6.168815796,1.046166742,3.463939226,2.99498307,5.785789271,,3.891938821,19.4596941
40,11235,富士見市,7.822158021,8.802917714,4.272246956,1.352918612,1.574141056,0.152808985,0.925936219,4.389743659,5.887854339,4.431120183,0.397169502,2.990046214,3.18123194,5.738215561,6.067811857,6.846560386,2.733956811,4.231506547,0.618728505,10.55945476,2.014307039,,6.96577423,1.679109706,5.159487261,3.645025258,6.2868809,,4.747255471,23.73627736
41,11237,三郷市,5.369627484,8.673556056,2.925424565,0.984018146,0.531618269,0,1.300774907,1.8710062,5.423345131,4.450684401,0.053943885,1.674908902,1.332455587,4.359676926,4.920811485,5.512431499,0.661299837,3.042562604,1.090814827,11.80535005,0.512241641,,5.656202702,0.937483504,4.937014766,2.516545061,6.158795845,,4.041208376,20.20604188
42,11238,蓮田市,3.820403404,7.284636814,2.052284026,0.655781497,0.670157721,0,0.637905134,1.652051319,5.15702397,3.657827812,0.172043133,1.524280298,2.044221613,3.347356282,3.842704421,3.240968222,1.753808303,3.631001635,0.527003501,10.25853412,0.645373211,,4.385774748,0.723179134,4.407425891,2.23148749,5.451953663,,3.439964185,17.19982093
43,11239,坂戸市,5.826842583,7.863626087,3.214493336,1.348350945,0.706437444,0.037825041,0.656954717,2.388706116,3.921690826,3.929165132,0.505961731,2.743070959,1.634307817,3.85630284,4.656932215,4.903447328,2.431121744,4.494812311,0.775378687,11.63198793,1.379057323,,5.634987335,1.027654853,3.925427979,2.889037292,6.505522625,,3.996526017,19.98263008
44,11240,幸手市,5.795671606,5.967472769,3.778840461,1.043441205,1.354618069,0.186955143,0.467465232,1.412482967,4.203854376,4.756747507,0.861456845,2.338096255,1.754737488,2.643413549,6.538236151,4.907808779,3.273315006,1.815817983,1.406585796,11.7824585,0.789111449,,5.180661612,0.892992523,4.480300942,2.83771865,6.285784975,,3.935491741,19.6774587
45,11241,鶴ヶ島市,6.83445201,9.314235403,6.645298677,0.545610097,0.226557569,0.116773433,2.348999549,1.910510478,3.083033545,4.918555609,0.246773926,2.163536864,0.802766041,3.498818118,6.529966769,5.00631696,1.272834385,5.418005444,0.487907909,10.36311634,1.636305691,,7.597995363,1.029690225,4.000794577,2.825214046,5.999711014,,4.290681045,21.45340523
46,11242,日高市,3.76397032,4.65500238,2.288757434,0.457557674,0.147002652,0,0.78684255,1.201804419,2.50123706,1.842663017,0.075225912,1.696918874,0.623593995,3.700124119,2.759051024,3.445628632,1.148832045,3.559080064,0.521737367,8.594067717,1.375626664,,3.569243378,0.518641459,2.171950038,1.947799115,4.984847191,,2.638496236,13.19248118
